age,age_group,sex,region,urban_rural,education,income_pc,income_level,has_child,marital_class
30,30-35,Nam,Nam,Nông thôn,ĐH,3278.8362977165543,mid,0,0
32,30-35,Nữ,Trung,Đô thị,≤THPT,4261.665221724454,high,1,0
25,25-29,Nữ,Bắc,Nông thôn,>ĐH,2189.5978762841933,low,0,0
18,18-24,Nữ,Nam,Đô thị,≤THPT,2969.8499126506103,mid,0,0
25,25-29,Nữ,Bắc,Đô thị,≤THPT,1117.078410817901,low,0,0
20,18-24,Nữ,Bắc,Nông thôn,ĐH,3497.1737302550027,mid,0,0
22,18-24,Nam,Bắc,Đô thị,ĐH,5356.613890896059,high,0,1
18,18-24,Nữ,Trung,Nông thôn,≤THPT,4064.872184323947,high,0,0
19,18-24,Nữ,Trung,Đô thị,ĐH,4165.611526117445,high,0,0
20,18-24,Nam,Nam,Nông thôn,ĐH,4253.1640278010245,high,0,0
33,30-35,Nam,Bắc,Nông thôn,CĐ,7223.706573661268,high,0,1
18,18-24,Nam,Bắc,Đô thị,≤THPT,2287.124909112995,low,0,0
32,30-35,Nữ,Bắc,Đô thị,≤THPT,4902.071275272058,high,0,1
29,25-29,Nữ,Bắc,Nông thôn,ĐH,3495.758500398057,mid,0,0
19,18-24,Nam,Bắc,Đô thị,≤THPT,4221.157256007869,high,1,0
32,30-35,Nam,Nam,Nông thôn,>ĐH,3240.958168398612,mid,0,0
18,18-24,Nam,Bắc,Nông thôn,CĐ,2569.140726458225,mid,1,0
34,30-35,Nữ,Nam,Đô thị,≤THPT,1580.7506046060373,low,0,0
21,18-24,Nữ,Nam,Đô thị,≤THPT,11559.32063232044,high,0,0
20,18-24,Nữ,Nam,Nông thôn,ĐH,10599.919328819122,high,0,0
23,18-24,Nam,Bắc,Đô thị,ĐH,7698.099562156907,high,0,0
23,18-24,Nam,Trung,Đô thị,ĐH,10286.246562534168,high,0,0
32,30-35,Nam,Trung,Nông thôn,≤THPT,1876.6970591391405,low,0,1
25,25-29,Nữ,Bắc,Nông thôn,≤THPT,3585.589303231357,mid,0,0
30,30-35,Nữ,Trung,Đô thị,≤THPT,5508.746927574731,high,0,1
34,30-35,Nữ,Trung,Nông thôn,ĐH,3687.427248602044,mid,0,0
21,18-24,Nữ,Bắc,Nông thôn,≤THPT,3725.7121385539567,mid,0,0
19,18-24,Nam,Nam,Nông thôn,ĐH,5107.882294144748,high,0,0
23,18-24,Nam,Bắc,Đô thị,≤THPT,3407.0416270419596,mid,0,0
35,30-35,Nữ,Trung,Đô thị,CĐ,3560.621402345771,mid,0,0
20,18-24,Nam,Trung,Nông thôn,CĐ,4479.669901254548,high,0,0
31,30-35,Nữ,Nam,Đô thị,≤THPT,5725.345165349799,high,0,0
35,30-35,Nam,Bắc,Nông thôn,ĐH,4531.780439285056,high,0,0
21,18-24,Nữ,Bắc,Đô thị,≤THPT,4191.2034909754475,high,0,1
26,25-29,Nam,Nam,Nông thôn,ĐH,2563.4894491851,mid,0,0
21,18-24,Nam,Trung,Đô thị,ĐH,4545.170317276295,high,0,0
19,18-24,Nam,Bắc,Nông thôn,ĐH,3944.413429717621,mid,0,0
32,30-35,Nữ,Nam,Đô thị,ĐH,3501.51225711893,mid,0,0
22,18-24,Nam,Nam,Nông thôn,≤THPT,1007.2367052636512,low,0,0
24,18-24,Nam,Nam,Nông thôn,CĐ,1735.740573664096,low,0,0
20,18-24,Nam,Nam,Đô thị,CĐ,4717.308224302249,high,0,0
18,18-24,Nữ,Bắc,Nông thôn,≤THPT,1068.4126243908308,low,0,0
18,18-24,Nam,Nam,Nông thôn,CĐ,3179.327983799922,mid,0,0
30,30-35,Nam,Bắc,Nông thôn,ĐH,3638.682735674829,mid,0,1
26,25-29,Nữ,Bắc,Nông thôn,≤THPT,986.4246152650963,low,0,0
34,30-35,Nam,Bắc,Đô thị,ĐH,3378.2575843007235,mid,0,1
29,25-29,Nam,Bắc,Đô thị,ĐH,1694.6209463530442,low,0,0
19,18-24,Nữ,Nam,Nông thôn,>ĐH,1562.6226439251036,low,0,1
22,18-24,Nữ,Bắc,Đô thị,CĐ,6721.26864647341,high,0,0
28,25-29,Nữ,Bắc,Nông thôn,ĐH,6125.954148763816,high,0,0
35,30-35,Nam,Trung,Nông thôn,CĐ,2757.3511522135555,mid,1,1
24,18-24,Nam,Bắc,Đô thị,ĐH,6115.941371055063,high,0,0
28,25-29,Nữ,Nam,Nông thôn,ĐH,6480.219330000983,high,0,0
27,25-29,Nam,Nam,Nông thôn,ĐH,3373.6009461271938,mid,0,0
18,18-24,Nữ,Trung,Nông thôn,≤THPT,1119.2728454189325,low,0,0
25,25-29,Nữ,Bắc,Đô thị,CĐ,1872.0119262854134,low,0,0
18,18-24,Nam,Bắc,Đô thị,≤THPT,2214.499850514311,low,0,0
26,25-29,Nữ,Bắc,Nông thôn,≤THPT,2999.5021484782646,mid,1,1
34,30-35,Nữ,Bắc,Nông thôn,ĐH,2589.2268297400105,mid,0,0
25,25-29,Nam,Trung,Đô thị,ĐH,3506.8386829168207,mid,1,0
23,18-24,Nam,Nam,Nông thôn,≤THPT,5732.391561052333,high,0,0
34,30-35,Nam,Nam,Đô thị,CĐ,3532.6372552718426,mid,0,0
24,18-24,Nữ,Bắc,Nông thôn,ĐH,1040.0342945035407,low,0,0
28,25-29,Nữ,Trung,Đô thị,≤THPT,5024.919620000181,high,0,0
26,25-29,Nữ,Bắc,Nông thôn,CĐ,4200.73163816894,high,0,0
18,18-24,Nam,Bắc,Nông thôn,CĐ,3060.1620091779882,mid,0,1
18,18-24,Nữ,Bắc,Nông thôn,≤THPT,2322.1553155730026,low,0,0
24,18-24,Nam,Trung,Nông thôn,>ĐH,6425.448373936955,high,0,0
33,30-35,Nữ,Nam,Nông thôn,ĐH,2552.346968450927,mid,0,0
35,30-35,Nam,Bắc,Đô thị,ĐH,4037.463349550379,high,0,0
27,25-29,Nam,Nam,Đô thị,ĐH,3278.494610056462,mid,0,0
35,30-35,Nam,Nam,Đô thị,CĐ,2435.5358896304174,mid,0,0
31,30-35,Nam,Bắc,Đô thị,ĐH,2590.007046789163,mid,0,0
32,30-35,Nam,Bắc,Nông thôn,≤THPT,1491.7576717455672,low,0,0
21,18-24,Nam,Bắc,Đô thị,ĐH,9918.741943446299,high,0,0
31,30-35,Nam,Nam,Nông thôn,>ĐH,5932.947041894637,high,0,0
22,18-24,Nữ,Bắc,Nông thôn,ĐH,5365.079553800359,high,0,0
19,18-24,Nữ,Nam,Nông thôn,CĐ,4439.6343267170105,high,0,0
31,30-35,Nam,Nam,Đô thị,CĐ,1660.6675454844303,low,0,0
18,18-24,Nữ,Bắc,Đô thị,CĐ,14293.042573086961,high,0,1
29,25-29,Nữ,Nam,Nông thôn,ĐH,6631.066289219302,high,0,0
26,25-29,Nữ,Nam,Nông thôn,≤THPT,3227.1261829282375,mid,0,1
22,18-24,Nữ,Bắc,Đô thị,≤THPT,5324.899135336631,high,0,0
22,18-24,Nam,Nam,Đô thị,CĐ,8692.782677717789,high,0,0
22,18-24,Nữ,Nam,Nông thôn,ĐH,3370.731970417377,mid,0,0
32,30-35,Nam,Bắc,Nông thôn,≤THPT,2934.0892183446617,mid,0,1
19,18-24,Nam,Bắc,Đô thị,ĐH,3110.1652134568576,mid,0,1
35,30-35,Nam,Nam,Nông thôn,CĐ,2199.0195923044016,low,0,1
31,30-35,Nữ,Nam,Đô thị,ĐH,5223.976598927515,high,0,0
24,18-24,Nữ,Nam,Đô thị,CĐ,2300.278636835131,low,0,0
24,18-24,Nữ,Bắc,Nông thôn,>ĐH,1983.2673986105908,low,1,0
30,30-35,Nữ,Nam,Đô thị,≤THPT,6525.220564742563,high,0,0
27,25-29,Nữ,Nam,Nông thôn,CĐ,1245.6584359571368,low,0,0
26,25-29,Nam,Nam,Đô thị,ĐH,2165.237404912404,low,1,1
31,30-35,Nam,Bắc,Nông thôn,≤THPT,2249.542581800002,low,1,0
22,18-24,Nam,Bắc,Đô thị,ĐH,3175.0867725840185,mid,0,0
31,30-35,Nam,Trung,Đô thị,ĐH,3289.613363237526,mid,0,0
29,25-29,Nam,Nam,Đô thị,CĐ,5952.500745309661,high,0,0
31,30-35,Nữ,Nam,Đô thị,≤THPT,2608.934035685873,mid,0,0
20,18-24,Nam,Bắc,Nông thôn,≤THPT,1871.39006351691,low,0,0
34,30-35,Nam,Bắc,Nông thôn,ĐH,4135.642794589438,high,0,0
31,30-35,Nữ,Nam,Nông thôn,ĐH,9060.4175827747,high,0,0
31,30-35,Nam,Bắc,Nông thôn,ĐH,3953.9581810109357,mid,0,1
35,30-35,Nữ,Bắc,Nông thôn,CĐ,5735.897202624874,high,1,0
25,25-29,Nữ,Nam,Đô thị,≤THPT,1917.5225812978947,low,0,0
34,30-35,Nữ,Bắc,Nông thôn,ĐH,6923.046672750992,high,0,0
32,30-35,Nam,Bắc,Đô thị,≤THPT,3463.3699348853297,mid,0,1
31,30-35,Nam,Bắc,Nông thôn,≤THPT,2300.851901819451,low,0,0
26,25-29,Nữ,Trung,Nông thôn,ĐH,7865.407996340123,high,1,0
33,30-35,Nam,Bắc,Đô thị,CĐ,3490.8345711560237,mid,0,0
25,25-29,Nam,Trung,Nông thôn,CĐ,4475.8571099933215,high,0,0
33,30-35,Nam,Bắc,Đô thị,≤THPT,2108.0965300792154,low,1,0
18,18-24,Nam,Nam,Đô thị,≤THPT,4233.399382037276,high,0,0
22,18-24,Nữ,Bắc,Nông thôn,CĐ,5050.219650769649,high,0,0
25,25-29,Nữ,Nam,Đô thị,CĐ,3465.9841524283643,mid,0,0
33,30-35,Nữ,Nam,Đô thị,≤THPT,2920.144793241919,mid,0,0
25,25-29,Nữ,Nam,Nông thôn,CĐ,1850.2984340280805,low,0,0
29,25-29,Nam,Bắc,Đô thị,≤THPT,3069.129191346642,mid,0,0
32,30-35,Nữ,Bắc,Nông thôn,≤THPT,1910.507643636308,low,0,0
32,30-35,Nam,Trung,Đô thị,≤THPT,2060.4761157813437,low,0,1
27,25-29,Nam,Nam,Đô thị,CĐ,3155.3210299230122,mid,0,0
21,18-24,Nam,Trung,Nông thôn,ĐH,7403.304363327975,high,0,0
32,30-35,Nam,Bắc,Nông thôn,≤THPT,2654.9837125455983,mid,0,0
26,25-29,Nam,Nam,Đô thị,ĐH,4491.32034730434,high,0,0
20,18-24,Nam,Trung,Đô thị,≤THPT,3255.2578035909623,mid,0,0
30,30-35,Nữ,Trung,Đô thị,CĐ,5908.975506920044,high,0,0
35,30-35,Nam,Bắc,Đô thị,≤THPT,2484.3580089615884,mid,0,1
26,25-29,Nữ,Nam,Nông thôn,CĐ,6506.420168353462,high,0,0
33,30-35,Nữ,Nam,Nông thôn,≤THPT,2456.150902513452,mid,0,0
34,30-35,Nam,Bắc,Nông thôn,>ĐH,7441.315458026383,high,1,0
22,18-24,Nữ,Nam,Nông thôn,≤THPT,4326.163142544859,high,1,0
31,30-35,Nam,Nam,Nông thôn,>ĐH,4910.132733207001,high,0,0
21,18-24,Nữ,Bắc,Đô thị,≤THPT,1528.153325153737,low,0,0
31,30-35,Nữ,Trung,Nông thôn,≤THPT,2253.490637035103,low,1,0
31,30-35,Nữ,Nam,Nông thôn,CĐ,1960.8909374124855,low,0,0
32,30-35,Nữ,Nam,Đô thị,≤THPT,1582.748547061066,low,0,1
27,25-29,Nam,Nam,Nông thôn,≤THPT,4616.6033323701395,high,0,0
33,30-35,Nữ,Nam,Đô thị,≤THPT,3178.893888210881,mid,0,1
27,25-29,Nam,Nam,Đô thị,≤THPT,5325.698992218004,high,0,1
27,25-29,Nữ,Bắc,Nông thôn,ĐH,1457.5539971738565,low,0,0
19,18-24,Nữ,Bắc,Đô thị,≤THPT,3229.7385193223836,mid,0,0
19,18-24,Nữ,Trung,Đô thị,≤THPT,2330.0739253553365,low,0,0
24,18-24,Nam,Bắc,Nông thôn,ĐH,2176.4452137682547,low,0,0
24,18-24,Nữ,Bắc,Nông thôn,≤THPT,5742.877244811376,high,0,0
27,25-29,Nữ,Nam,Nông thôn,CĐ,1626.8153559476907,low,0,0
22,18-24,Nữ,Nam,Nông thôn,CĐ,1173.7250493933657,low,0,0
28,25-29,Nữ,Nam,Nông thôn,CĐ,3169.540835822205,mid,0,0
30,30-35,Nam,Bắc,Đô thị,≤THPT,3715.700939337782,mid,0,0
23,18-24,Nữ,Bắc,Đô thị,ĐH,8139.5531702441185,high,0,0
25,25-29,Nữ,Bắc,Nông thôn,≤THPT,1398.4202277399913,low,0,1
35,30-35,Nữ,Bắc,Đô thị,ĐH,6650.006427249504,high,1,0
34,30-35,Nữ,Nam,Đô thị,>ĐH,4373.743890924463,high,0,0
28,25-29,Nam,Nam,Nông thôn,ĐH,3836.3978119245166,mid,0,0
29,25-29,Nữ,Nam,Nông thôn,≤THPT,2709.043128545133,mid,0,0
35,30-35,Nữ,Nam,Nông thôn,≤THPT,1402.9713189160125,low,0,0
25,25-29,Nam,Trung,Nông thôn,≤THPT,5678.3136929381435,high,0,0
32,30-35,Nam,Bắc,Nông thôn,≤THPT,1076.053615074902,low,0,0
31,30-35,Nữ,Bắc,Nông thôn,ĐH,3671.3689268486933,mid,0,1
18,18-24,Nam,Nam,Đô thị,≤THPT,1527.160535566338,low,0,0
23,18-24,Nam,Nam,Nông thôn,ĐH,2868.1672227385725,mid,0,0
23,18-24,Nữ,Bắc,Đô thị,≤THPT,1128.4826437867582,low,0,0
27,25-29,Nữ,Nam,Đô thị,ĐH,1821.291504251584,low,0,0
18,18-24,Nữ,Bắc,Đô thị,CĐ,7075.647797653681,high,0,0
32,30-35,Nữ,Nam,Đô thị,CĐ,3176.527877133231,mid,0,1
18,18-24,Nữ,Bắc,Đô thị,ĐH,4802.264437387994,high,0,0
26,25-29,Nam,Trung,Đô thị,≤THPT,1426.7943372441043,low,0,0
20,18-24,Nam,Trung,Nông thôn,≤THPT,2991.7046689365357,mid,0,0
22,18-24,Nam,Nam,Nông thôn,ĐH,11637.855230280213,high,0,0
31,30-35,Nữ,Bắc,Đô thị,ĐH,1890.4520316561056,low,0,1
31,30-35,Nam,Nam,Nông thôn,≤THPT,1675.7773417945195,low,0,0
32,30-35,Nam,Nam,Đô thị,CĐ,5229.247112271579,high,0,0
32,30-35,Nữ,Nam,Nông thôn,CĐ,2332.9771579635326,low,0,0
35,30-35,Nữ,Nam,Nông thôn,≤THPT,3917.707950592347,mid,0,1
31,30-35,Nam,Bắc,Đô thị,≤THPT,1242.6481155542283,low,0,0
29,25-29,Nữ,Bắc,Đô thị,ĐH,5990.659257135023,high,0,0
20,18-24,Nam,Nam,Đô thị,CĐ,3883.848768596287,mid,0,0
28,25-29,Nam,Bắc,Nông thôn,≤THPT,7074.262018766336,high,0,0
19,18-24,Nam,Nam,Nông thôn,CĐ,1457.104536196099,low,0,0
24,18-24,Nữ,Nam,Đô thị,ĐH,5651.326722072412,high,0,0
18,18-24,Nam,Nam,Đô thị,≤THPT,5396.703506218528,high,0,0
28,25-29,Nữ,Bắc,Nông thôn,CĐ,5324.194890696347,high,0,1
27,25-29,Nam,Bắc,Nông thôn,ĐH,2169.500985476919,low,0,0
35,30-35,Nam,Bắc,Nông thôn,≤THPT,2518.4260917308256,mid,0,1
32,30-35,Nữ,Nam,Nông thôn,≤THPT,5382.61650736863,high,0,0
32,30-35,Nữ,Trung,Đô thị,≤THPT,1854.1018267541028,low,0,0
28,25-29,Nam,Trung,Đô thị,≤THPT,7356.609348808994,high,0,1
23,18-24,Nữ,Bắc,Đô thị,ĐH,4455.8514021783185,high,0,0
25,25-29,Nữ,Nam,Đô thị,≤THPT,2556.242408659653,mid,0,0
28,25-29,Nam,Bắc,Nông thôn,≤THPT,3198.4731066645572,mid,0,0
19,18-24,Nữ,Nam,Đô thị,≤THPT,3122.780330296561,mid,0,0
19,18-24,Nữ,Nam,Đô thị,≤THPT,3408.2223141344675,mid,0,0
27,25-29,Nữ,Bắc,Đô thị,≤THPT,5930.351562877166,high,0,1
24,18-24,Nữ,Nam,Nông thôn,≤THPT,1099.1023203890174,low,0,0
26,25-29,Nữ,Bắc,Nông thôn,ĐH,2567.3568164439016,mid,0,1
21,18-24,Nữ,Bắc,Đô thị,≤THPT,5288.080396264904,high,0,0
18,18-24,Nam,Bắc,Nông thôn,CĐ,1371.628084286722,low,0,0
23,18-24,Nam,Nam,Đô thị,CĐ,2577.1715132801605,mid,0,0
23,18-24,Nữ,Nam,Nông thôn,CĐ,4900.692935594784,high,0,1
28,25-29,Nam,Bắc,Đô thị,ĐH,5784.192571824615,high,0,0
23,18-24,Nữ,Bắc,Đô thị,ĐH,1238.617441601266,low,0,0
19,18-24,Nam,Nam,Đô thị,>ĐH,10317.550694720981,high,0,0
21,18-24,Nam,Nam,Nông thôn,CĐ,2624.5691900527554,mid,0,1
18,18-24,Nam,Bắc,Đô thị,≤THPT,4601.6385103403745,high,0,0
34,30-35,Nam,Bắc,Đô thị,>ĐH,4594.608610163935,high,0,0
29,25-29,Nữ,Nam,Đô thị,ĐH,3269.575732977073,mid,0,0
18,18-24,Nam,Trung,Đô thị,ĐH,1958.590360554068,low,0,0
30,30-35,Nữ,Bắc,Nông thôn,ĐH,2808.5753985854744,mid,0,0
20,18-24,Nữ,Nam,Đô thị,≤THPT,2925.593405736121,mid,0,0
29,25-29,Nam,Bắc,Đô thị,ĐH,4312.420836195426,high,0,0
35,30-35,Nam,Trung,Nông thôn,ĐH,2428.773165518798,low,0,0
28,25-29,Nam,Bắc,Nông thôn,≤THPT,2405.196124603083,low,0,1
34,30-35,Nữ,Nam,Đô thị,CĐ,3952.2413342211726,mid,0,0
23,18-24,Nam,Nam,Đô thị,CĐ,3244.0694160810135,mid,0,0
18,18-24,Nam,Nam,Nông thôn,≤THPT,3917.0891982674443,mid,0,1
28,25-29,Nam,Nam,Đô thị,≤THPT,5064.766068742426,high,0,1
29,25-29,Nam,Bắc,Đô thị,≤THPT,2433.0070332689215,mid,0,0
30,30-35,Nam,Nam,Đô thị,≤THPT,3601.9740805832926,mid,0,1
26,25-29,Nam,Bắc,Đô thị,CĐ,2445.0003437077066,mid,0,0
18,18-24,Nam,Bắc,Đô thị,ĐH,1418.9846473283878,low,0,0
30,30-35,Nam,Nam,Nông thôn,≤THPT,1407.195033182238,low,0,0
21,18-24,Nữ,Nam,Nông thôn,≤THPT,1471.888906145605,low,0,0
24,18-24,Nữ,Bắc,Đô thị,ĐH,3925.6935211911677,mid,0,0
22,18-24,Nam,Nam,Đô thị,ĐH,1076.7803100218505,low,0,0
31,30-35,Nữ,Bắc,Đô thị,CĐ,4111.252590379862,high,0,1
26,25-29,Nữ,Nam,Nông thôn,≤THPT,1160.879040851214,low,0,0
21,18-24,Nam,Bắc,Đô thị,≤THPT,2664.3137091485282,mid,0,0
35,30-35,Nữ,Bắc,Nông thôn,≤THPT,996.542188200654,low,1,0
31,30-35,Nữ,Bắc,Nông thôn,≤THPT,4683.624568004731,high,0,0
21,18-24,Nam,Nam,Nông thôn,ĐH,5001.001404817685,high,0,0
21,18-24,Nam,Bắc,Nông thôn,≤THPT,4125.392953200868,high,0,0
25,25-29,Nữ,Bắc,Đô thị,≤THPT,2676.2490498245356,mid,0,0
27,25-29,Nữ,Nam,Nông thôn,≤THPT,2606.156231910345,mid,0,0
32,30-35,Nữ,Bắc,Nông thôn,ĐH,2438.524077996516,mid,1,0
22,18-24,Nữ,Bắc,Đô thị,≤THPT,6767.082106671244,high,0,0
28,25-29,Nam,Nam,Đô thị,≤THPT,2443.0876557043157,mid,0,0
28,25-29,Nam,Bắc,Đô thị,≤THPT,643.1246596325899,low,0,1
30,30-35,Nữ,Nam,Đô thị,≤THPT,3471.498592939866,mid,0,1
34,30-35,Nữ,Trung,Đô thị,ĐH,9796.030813905687,high,0,0
22,18-24,Nữ,Trung,Đô thị,≤THPT,6586.70255778443,high,0,0
30,30-35,Nữ,Trung,Nông thôn,≤THPT,10097.680855768971,high,0,0
31,30-35,Nam,Nam,Đô thị,≤THPT,3376.6072368596124,mid,0,0
24,18-24,Nữ,Bắc,Nông thôn,CĐ,1804.9906440695222,low,0,1
26,25-29,Nam,Bắc,Nông thôn,ĐH,3820.8820979199145,mid,0,0
22,18-24,Nam,Bắc,Đô thị,CĐ,2422.574637203731,low,0,0
28,25-29,Nam,Nam,Nông thôn,ĐH,4429.023495024187,high,0,0
23,18-24,Nam,Nam,Nông thôn,ĐH,2102.4803738272085,low,0,1
21,18-24,Nữ,Nam,Nông thôn,>ĐH,2130.6125510278516,low,0,0
24,18-24,Nam,Bắc,Nông thôn,ĐH,5326.248930178866,high,0,0
21,18-24,Nữ,Bắc,Đô thị,ĐH,9362.997496386228,high,0,0
31,30-35,Nam,Nam,Nông thôn,ĐH,3694.8727085833107,mid,1,0
30,30-35,Nữ,Bắc,Đô thị,ĐH,5402.42408549406,high,0,1
29,25-29,Nữ,Nam,Đô thị,ĐH,6371.62800748513,high,0,0
19,18-24,Nam,Nam,Nông thôn,CĐ,1156.9588182893042,low,0,0
28,25-29,Nữ,Bắc,Nông thôn,CĐ,5234.876649726527,high,0,0
33,30-35,Nam,Trung,Đô thị,ĐH,10950.573861209175,high,0,0
33,30-35,Nam,Bắc,Đô thị,≤THPT,2357.2413112430804,low,0,0
27,25-29,Nam,Bắc,Nông thôn,>ĐH,4047.400817323765,high,0,0
27,25-29,Nam,Bắc,Nông thôn,CĐ,1487.3003483252626,low,0,1
21,18-24,Nam,Nam,Nông thôn,≤THPT,2960.285892833966,mid,0,1
24,18-24,Nữ,Trung,Đô thị,CĐ,3324.784761722209,mid,0,0
34,30-35,Nữ,Bắc,Nông thôn,≤THPT,2263.018547035143,low,0,0
26,25-29,Nữ,Trung,Đô thị,≤THPT,1399.7405560103077,low,0,0
18,18-24,Nữ,Nam,Đô thị,ĐH,4179.469015812752,high,0,0
24,18-24,Nữ,Nam,Đô thị,CĐ,2388.451944017781,low,0,0
20,18-24,Nữ,Nam,Đô thị,ĐH,2649.647722052755,mid,0,0
22,18-24,Nam,Bắc,Đô thị,≤THPT,2497.685934390821,mid,0,0
34,30-35,Nữ,Bắc,Đô thị,≤THPT,2294.573455182928,low,0,0
35,30-35,Nữ,Nam,Nông thôn,≤THPT,3357.7692897758316,mid,0,0
20,18-24,Nam,Trung,Nông thôn,≤THPT,748.7736736113517,low,0,0
18,18-24,Nữ,Trung,Nông thôn,≤THPT,4554.594493429402,high,0,0
30,30-35,Nữ,Nam,Nông thôn,≤THPT,2333.4548542727857,low,0,0
25,25-29,Nam,Nam,Nông thôn,≤THPT,3180.4836039819074,mid,0,0
21,18-24,Nữ,Bắc,Nông thôn,ĐH,5899.467172359948,high,0,0
28,25-29,Nữ,Trung,Đô thị,≤THPT,1411.8827680789743,low,0,0
30,30-35,Nam,Nam,Đô thị,≤THPT,3796.6139390964568,mid,0,0
35,30-35,Nam,Bắc,Đô thị,≤THPT,9211.11615841706,high,1,0
23,18-24,Nam,Bắc,Nông thôn,CĐ,1068.8403895998003,low,0,0
22,18-24,Nam,Bắc,Nông thôn,≤THPT,4429.906991842268,high,0,1
25,25-29,Nữ,Nam,Đô thị,CĐ,3949.9365376427527,mid,0,0
27,25-29,Nam,Bắc,Nông thôn,CĐ,4308.560229126297,high,0,1
30,30-35,Nam,Trung,Đô thị,ĐH,5008.258366130211,high,0,0
28,25-29,Nữ,Trung,Nông thôn,CĐ,4470.642388290015,high,0,1
21,18-24,Nữ,Nam,Nông thôn,ĐH,2088.154251566294,low,0,0
25,25-29,Nam,Bắc,Nông thôn,ĐH,1624.2783344101235,low,0,1
18,18-24,Nữ,Bắc,Nông thôn,≤THPT,2231.5380339982744,low,0,0
29,25-29,Nữ,Trung,Đô thị,>ĐH,2893.280879038394,mid,1,0
23,18-24,Nam,Nam,Nông thôn,≤THPT,1353.1228363162172,low,0,0
23,18-24,Nữ,Bắc,Nông thôn,≤THPT,2330.2933584422976,low,0,0
33,30-35,Nữ,Bắc,Nông thôn,≤THPT,2263.6533334311675,low,1,0
