tinh_thanh,vung_kinh_te,vung_mien,nam,so_ket_hon,tfr,dan_so_2019,mat_do,ty_le_ket_hon,tfr_level,marriage_rate_level,urban_rural,so_ket_hon_prev,trend,trend_label
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2022,12985.0,1.97,155.0,159.4,83774.1935483871,Trung bình,Cao,Nông thôn,7314.0,1,Tăng/Giữ nguyên
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2023,11970.0,2.01,155.0,159.4,77225.8064516129,Trung bình,Cao,Nông thôn,12985.0,0,Giảm
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2024,10259.0,1.97,155.0,159.4,66187.09677419355,Trung bình,Cao,Nông thôn,11970.0,0,Giảm
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2019,12934.0,2.2,245.0,250.3,52791.83673469388,Cao,Cao,Nông thôn,,0,Giảm
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2020,11126.0,2.24,245.0,250.3,45412.244897959186,Cao,Trung bình,Nông thôn,12934.0,0,Giảm
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2021,8191.0,2.22,245.0,250.3,33432.65306122449,Cao,Trung bình,Nông thôn,11126.0,0,Giảm
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2022,12204.0,2.02,245.0,250.3,49812.24489795918,Trung bình,Cao,Nông thôn,8191.0,1,Tăng/Giữ nguyên
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2023,11509.0,1.97,245.0,250.3,46975.51020408163,Trung bình,Cao,Nông thôn,12204.0,0,Giảm
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2024,10123.0,2.01,245.0,250.3,41318.36734693878,Trung bình,Trung bình,Nông thôn,11509.0,0,Giảm
Bạc Liêu,Đồng bằng sông Cửu Long,Nam,2019,6923.0,1.61,340.0,348.1,20361.764705882353,Thấp,Trung bình,Nông thôn,,0,Giảm
Bạc Liêu,Đồng bằng sông Cửu Long,Nam,2020,6549.0,1.66,340.0,348.1,19261.764705882353,Thấp,Thấp,Nông thôn,6923.0,0,Giảm
Bạc Liêu,Đồng bằng sông Cửu Long,Nam,2021,4401.0,1.56,340.0,348.1,12944.117647058823,Thấp,Thấp,Nông thôn,6549.0,0,Giảm
Bạc Liêu,Đồng bằng sông Cửu Long,Nam,2022,7063.0,1.46,340.0,348.1,20773.529411764706,Thấp,Trung bình,Nông thôn,4401.0,1,Tăng/Giữ nguyên
Bạc Liêu,Đồng bằng sông Cửu Long,Nam,2023,7124.0,1.53,340.0,348.1,20952.941176470587,Thấp,Trung bình,Nông thôn,7063.0,1,Tăng/Giữ nguyên
Bạc Liêu,Đồng bằng sông Cửu Long,Nam,2024,6036.0,1.54,340.0,348.1,17752.941176470587,Thấp,Thấp,Nông thôn,7124.0,0,Giảm
Bắc Giang,Trung du và miền núi phía Bắc,Bắc,2019,12792.0,2.31,465.0,503.8,27509.677419354837,Cao,Trung bình,Bán đô thị,,0,Giảm
Bắc Giang,Trung du và miền núi phía Bắc,Bắc,2020,11101.0,2.3,465.0,503.8,23873.118279569895,Cao,Trung bình,Bán đô thị,12792.0,0,Giảm
Bắc Giang,Trung du và miền núi phía Bắc,Bắc,2021,8804.0,2.32,465.0,503.8,18933.333333333332,Cao,Thấp,Bán đô thị,11101.0,0,Giảm
Bắc Giang,Trung du và miền núi phía Bắc,Bắc,2022,13489.0,2.35,465.0,503.8,29008.602150537634,Cao,Trung bình,Bán đô thị,8804.0,1,Tăng/Giữ nguyên
Bắc Giang,Trung du và miền núi phía Bắc,Bắc,2023,12856.0,2.22,465.0,503.8,27647.31182795699,Cao,Trung bình,Bán đô thị,13489.0,0,Giảm
Bắc Giang,Trung du và miền núi phía Bắc,Bắc,2024,12720.0,2.21,465.0,503.8,27354.83870967742,Cao,Trung bình,Bán đô thị,12856.0,0,Giảm
Bắc Kạn,Trung du và miền núi phía Bắc,Bắc,2019,2203.0,2.14,65.0,67.9,33892.30769230769,Cao,Trung bình,Nông thôn,,0,Giảm
Bắc Kạn,Trung du và miền núi phía Bắc,Bắc,2020,2079.0,2.14,65.0,67.9,31984.615384615383,Cao,Trung bình,Nông thôn,2203.0,0,Giảm
Bắc Kạn,Trung du và miền núi phía Bắc,Bắc,2021,1958.0,2.22,65.0,67.9,30123.076923076922,Cao,Trung bình,Nông thôn,2079.0,0,Giảm
Bắc Kạn,Trung du và miền núi phía Bắc,Bắc,2022,1929.0,2.07,65.0,67.9,29676.923076923078,Trung bình,Trung bình,Nông thôn,1958.0,0,Giảm
Bắc Kạn,Trung du và miền núi phía Bắc,Bắc,2023,1948.0,2.06,65.0,67.9,29969.23076923077,Trung bình,Trung bình,Nông thôn,1929.0,1,Tăng/Giữ nguyên
Bắc Kạn,Trung du và miền núi phía Bắc,Bắc,2024,1872.0,2.18,65.0,67.9,28800.0,Cao,Trung bình,Nông thôn,1948.0,0,Giảm
Bắc Ninh,Đồng bằng sông Hồng,Bắc,2019,8534.0,2.53,1676.0,1879.9,5091.885441527446,Cao,Thấp,Đô thị,,0,Giảm
Bắc Ninh,Đồng bằng sông Hồng,Bắc,2020,7338.0,2.49,1676.0,1879.9,4378.281622911694,Cao,Thấp,Đô thị,8534.0,0,Giảm
Bắc Ninh,Đồng bằng sông Hồng,Bắc,2021,6552.0,2.6,1676.0,1879.9,3909.3078758949882,Cao,Thấp,Đô thị,7338.0,0,Giảm
Bắc Ninh,Đồng bằng sông Hồng,Bắc,2022,8486.0,2.53,1676.0,1879.9,5063.245823389021,Cao,Thấp,Đô thị,6552.0,1,Tăng/Giữ nguyên
Bắc Ninh,Đồng bằng sông Hồng,Bắc,2023,8291.0,2.3,1676.0,1879.9,4946.897374701671,Cao,Thấp,Đô thị,8486.0,0,Giảm
Bắc Ninh,Đồng bằng sông Hồng,Bắc,2024,7781.0,2.31,1676.0,1879.9,4642.601431980907,Cao,Thấp,Đô thị,8291.0,0,Giảm
Bắc Trung Bộ và duyên hải miền Trung,,,2019,161817.0,2.32,,,,Cao,,Nông thôn,,0,Giảm
Bắc Trung Bộ và duyên hải miền Trung,,,2020,143096.0,2.31,,,,Cao,,Nông thôn,161817.0,0,Giảm
Bắc Trung Bộ và duyên hải miền Trung,,,2021,117157.0,2.32,,,,Cao,,Nông thôn,143096.0,0,Giảm
Bắc Trung Bộ và duyên hải miền Trung,,,2022,157839.0,2.29,,,,Cao,,Nông thôn,117157.0,1,Tăng/Giữ nguyên
Bắc Trung Bộ và duyên hải miền Trung,,,2023,152492.0,2.26,,,,Cao,,Nông thôn,157839.0,0,Giảm
Bắc Trung Bộ và duyên hải miền Trung,,,2024,135653.0,2.11,,,,Cao,,Nông thôn,152492.0,0,Giảm
Bến Tre,Đồng bằng sông Cửu Long,Nam,2019,10845.0,1.86,538.0,548.9,20157.99256505576,Trung bình,Trung bình,Bán đô thị,,0,Giảm
Bến Tre,Đồng bằng sông Cửu Long,Nam,2020,10349.0,1.87,538.0,548.9,19236.059479553904,Trung bình,Thấp,Bán đô thị,10845.0,0,Giảm
Bến Tre,Đồng bằng sông Cửu Long,Nam,2021,6995.0,1.64,538.0,548.9,13001.858736059481,Thấp,Thấp,Bán đô thị,10349.0,0,Giảm
Bến Tre,Đồng bằng sông Cửu Long,Nam,2022,10647.0,1.62,538.0,548.9,19789.96282527881,Thấp,Thấp,Bán đô thị,6995.0,1,Tăng/Giữ nguyên
Bến Tre,Đồng bằng sông Cửu Long,Nam,2023,10489.0,1.62,538.0,548.9,19496.282527881038,Thấp,Thấp,Bán đô thị,10647.0,0,Giảm
Bến Tre,Đồng bằng sông Cửu Long,Nam,2024,8813.0,1.56,538.0,548.9,16381.040892193309,Thấp,Thấp,Bán đô thị,10489.0,0,Giảm
Cao Bằng,Trung du và miền núi phía Bắc,Bắc,2019,4626.0,2.43,79.0,83.3,58556.96202531646,Cao,Cao,Nông thôn,,0,Giảm
Cao Bằng,Trung du và miền núi phía Bắc,Bắc,2020,4295.0,2.42,79.0,83.3,54367.08860759494,Cao,Cao,Nông thôn,4626.0,0,Giảm
Cao Bằng,Trung du và miền núi phía Bắc,Bắc,2021,3995.0,2.4,79.0,83.3,50569.62025316456,Cao,Cao,Nông thôn,4295.0,0,Giảm
Cao Bằng,Trung du và miền núi phía Bắc,Bắc,2022,4116.0,2.4,79.0,83.3,52101.26582278481,Cao,Cao,Nông thôn,3995.0,1,Tăng/Giữ nguyên
Cao Bằng,Trung du và miền núi phía Bắc,Bắc,2023,3786.0,2.32,79.0,83.3,47924.05063291139,Cao,Cao,Nông thôn,4116.0,0,Giảm
Cao Bằng,Trung du và miền núi phía Bắc,Bắc,2024,3180.0,2.27,79.0,83.3,40253.16455696202,Cao,Trung bình,Nông thôn,3786.0,0,Giảm
Cà Mau,Đồng bằng sông Cửu Long,Nam,2019,10767.0,,229.0,229.8,47017.467248908295,,Cao,Nông thôn,,0,Giảm
Cà Mau,Đồng bằng sông Cửu Long,Nam,2020,10122.0,,229.0,229.8,44200.87336244541,,Trung bình,Nông thôn,10767.0,0,Giảm
Cà Mau,Đồng bằng sông Cửu Long,Nam,2021,6282.0,,229.0,229.8,27432.314410480347,,Trung bình,Nông thôn,10122.0,0,Giảm
Cà Mau,Đồng bằng sông Cửu Long,Nam,2022,12606.0,,229.0,229.8,55048.03493449782,,Cao,Nông thôn,6282.0,1,Tăng/Giữ nguyên
Cà Mau,Đồng bằng sông Cửu Long,Nam,2023,11911.0,,229.0,229.8,52013.10043668122,,Cao,Nông thôn,12606.0,0,Giảm
Cà Mau,Đồng bằng sông Cửu Long,Nam,2024,10575.0,,229.0,229.8,46179.03930131004,,Cao,Nông thôn,11911.0,0,Giảm
Cần Thơ,Đồng bằng sông Cửu Long,Nam,2019,8660.0,1.66,859.0,882.9,10081.490104772993,Thấp,Thấp,Bán đô thị,,0,Giảm
Cần Thơ,Đồng bằng sông Cửu Long,Nam,2020,7638.0,1.74,859.0,882.9,8891.73457508731,Thấp,Thấp,Bán đô thị,8660.0,0,Giảm
Cần Thơ,Đồng bằng sông Cửu Long,Nam,2021,5035.0,1.68,859.0,882.9,5861.466821885914,Thấp,Thấp,Bán đô thị,7638.0,0,Giảm
Cần Thơ,Đồng bằng sông Cửu Long,Nam,2022,9293.0,1.73,859.0,882.9,10818.393480791618,Thấp,Thấp,Bán đô thị,5035.0,1,Tăng/Giữ nguyên
Cần Thơ,Đồng bằng sông Cửu Long,Nam,2023,8785.0,1.44,859.0,882.9,10227.008149010477,Thấp,Thấp,Bán đô thị,9293.0,0,Giảm
Cần Thơ,Đồng bằng sông Cửu Long,Nam,2024,7645.0,1.45,859.0,882.9,8899.883585564608,Thấp,Thấp,Bán đô thị,8785.0,0,Giảm
Gia Lai,Tây Nguyên,Trung,2019,13261.0,2.49,98.0,105.4,135316.32653061225,Cao,Cao,Nông thôn,,0,Giảm
Gia Lai,Tây Nguyên,Trung,2020,12315.0,2.47,98.0,105.4,125663.26530612246,Cao,Cao,Nông thôn,13261.0,0,Giảm
Gia Lai,Tây Nguyên,Trung,2021,9726.0,2.44,98.0,105.4,99244.89795918367,Cao,Cao,Nông thôn,12315.0,0,Giảm
Gia Lai,Tây Nguyên,Trung,2022,14133.0,2.31,98.0,105.4,144214.2857142857,Cao,Cao,Nông thôn,9726.0,1,Tăng/Giữ nguyên
Gia Lai,Tây Nguyên,Trung,2023,14259.0,2.38,98.0,105.4,145500.0,Cao,Cao,Nông thôn,14133.0,1,Tăng/Giữ nguyên
Gia Lai,Tây Nguyên,Trung,2024,12926.0,2.33,98.0,105.4,131897.95918367346,Cao,Cao,Nông thôn,14259.0,0,Giảm
Huế,,,2019,9478.0,2.34,,,,Cao,,Nông thôn,,0,Giảm
Huế,,,2020,8090.0,2.29,,,,Cao,,Nông thôn,9478.0,0,Giảm
Huế,,,2021,6552.0,2.25,,,,Cao,,Nông thôn,8090.0,0,Giảm
Huế,,,2022,8211.0,2.38,,,,Cao,,Nông thôn,6552.0,1,Tăng/Giữ nguyên
Huế,,,2023,8416.0,2.22,,,,Cao,,Nông thôn,8211.0,1,Tăng/Giữ nguyên
Huế,,,2024,6963.0,2.07,,,,Trung bình,,Nông thôn,8416.0,0,Giảm
Hà Giang,Trung du và miền núi phía Bắc,Bắc,2019,7279.0,2.47,108.0,115.0,67398.14814814815,Cao,Cao,Nông thôn,,0,Giảm
Hà Giang,Trung du và miền núi phía Bắc,Bắc,2020,7617.0,2.57,108.0,115.0,70527.77777777777,Cao,Cao,Nông thôn,7279.0,1,Tăng/Giữ nguyên
Hà Giang,Trung du và miền núi phía Bắc,Bắc,2021,7347.0,2.62,108.0,115.0,68027.77777777777,Cao,Cao,Nông thôn,7617.0,0,Giảm
Hà Giang,Trung du và miền núi phía Bắc,Bắc,2022,8278.0,2.77,108.0,115.0,76648.14814814815,Cao,Cao,Nông thôn,7347.0,1,Tăng/Giữ nguyên
Hà Giang,Trung du và miền núi phía Bắc,Bắc,2023,7214.0,2.74,108.0,115.0,66796.29629629629,Cao,Cao,Nông thôn,8278.0,0,Giảm
Hà Giang,Trung du và miền núi phía Bắc,Bắc,2024,6703.0,2.69,108.0,115.0,62064.81481481482,Cao,Cao,Nông thôn,7214.0,0,Giảm
Hà Nam,Đồng bằng sông Hồng,Bắc,2019,5820.0,2.44,991.0,1037.5,5872.855701311806,Cao,Thấp,Đô thị,,0,Giảm
Hà Nam,Đồng bằng sông Hồng,Bắc,2020,4674.0,2.36,991.0,1037.5,4716.448032290616,Cao,Thấp,Đô thị,5820.0,0,Giảm
Hà Nam,Đồng bằng sông Hồng,Bắc,2021,4262.0,2.35,991.0,1037.5,4300.706357214934,Cao,Thấp,Đô thị,4674.0,0,Giảm
Hà Nam,Đồng bằng sông Hồng,Bắc,2022,5224.0,2.42,991.0,1037.5,5271.442986881937,Cao,Thấp,Đô thị,4262.0,1,Tăng/Giữ nguyên
Hà Nam,Đồng bằng sông Hồng,Bắc,2023,5290.0,2.26,991.0,1037.5,5338.042381432896,Cao,Thấp,Đô thị,5224.0,1,Tăng/Giữ nguyên
Hà Nam,Đồng bằng sông Hồng,Bắc,2024,5191.0,2.21,991.0,1037.5,5238.143289606458,Cao,Thấp,Đô thị,5290.0,0,Giảm
Hà Nội,Đồng bằng sông Hồng,Bắc,2019,47581.0,2.24,2410.0,2594.7,19743.153526970953,Cao,Thấp,Đô thị,,0,Giảm
Hà Nội,Đồng bằng sông Hồng,Bắc,2020,40899.0,2.25,2410.0,2594.7,16970.539419087134,Cao,Thấp,Đô thị,47581.0,0,Giảm
Hà Nội,Đồng bằng sông Hồng,Bắc,2021,38058.0,2.18,2410.0,2594.7,15791.70124481328,Cao,Thấp,Đô thị,40899.0,0,Giảm
Hà Nội,Đồng bằng sông Hồng,Bắc,2022,43133.0,2.13,2410.0,2594.7,17897.510373443984,Cao,Thấp,Đô thị,38058.0,1,Tăng/Giữ nguyên
Hà Nội,Đồng bằng sông Hồng,Bắc,2023,43731.0,1.88,2410.0,2594.7,18145.643153526973,Trung bình,Thấp,Đô thị,43133.0,1,Tăng/Giữ nguyên
Hà Nội,Đồng bằng sông Hồng,Bắc,2024,43190.0,1.86,2410.0,2594.7,17921.16182572614,Trung bình,Thấp,Đô thị,43731.0,0,Giảm
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2019,9919.0,2.83,215.0,221.8,46134.88372093024,Cao,Cao,Nông thôn,,0,Giảm
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2020,8171.0,2.73,215.0,221.8,38004.6511627907,Cao,Trung bình,Nông thôn,9919.0,0,Giảm
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2021,6778.0,2.95,215.0,221.8,31525.581395348836,Cao,Trung bình,Nông thôn,8171.0,0,Giảm
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2022,9533.0,2.87,215.0,221.8,44339.53488372093,Cao,Trung bình,Nông thôn,6778.0,1,Tăng/Giữ nguyên
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2023,8948.0,2.72,215.0,221.8,41618.604651162794,Cao,Trung bình,Nông thôn,9533.0,0,Giảm
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2024,8369.0,2.41,215.0,221.8,38925.58139534883,Cao,Trung bình,Nông thôn,8948.0,0,Giảm
Hòa Bình,Trung du và miền núi phía Bắc,Bắc,2019,5145.0,2.34,,,,Cao,,Nông thôn,,0,Giảm
Hòa Bình,Trung du và miền núi phía Bắc,Bắc,2020,4759.0,2.29,,,,Cao,,Nông thôn,5145.0,0,Giảm
Hòa Bình,Trung du và miền núi phía Bắc,Bắc,2021,4778.0,2.19,,,,Cao,,Nông thôn,4759.0,1,Tăng/Giữ nguyên
Hòa Bình,Trung du và miền núi phía Bắc,Bắc,2022,5935.0,2.16,,,,Cao,,Nông thôn,4778.0,1,Tăng/Giữ nguyên
Hòa Bình,Trung du và miền núi phía Bắc,Bắc,2023,5703.0,2.17,,,,Cao,,Nông thôn,5935.0,0,Giảm
Hòa Bình,Trung du và miền núi phía Bắc,Bắc,2024,5098.0,2.05,,,,Trung bình,,Nông thôn,5703.0,0,Giảm
Hưng Yên,Đồng bằng sông Hồng,Bắc,2019,8155.0,2.4,1350.0,1417.0,6040.74074074074,Cao,Thấp,Đô thị,,0,Giảm
Hưng Yên,Đồng bằng sông Hồng,Bắc,2020,6839.0,2.4,1350.0,1417.0,5065.925925925926,Cao,Thấp,Đô thị,8155.0,0,Giảm
Hưng Yên,Đồng bằng sông Hồng,Bắc,2021,6014.0,2.43,1350.0,1417.0,4454.814814814815,Cao,Thấp,Đô thị,6839.0,0,Giảm
Hưng Yên,Đồng bằng sông Hồng,Bắc,2022,7914.0,2.52,1350.0,1417.0,5862.222222222222,Cao,Thấp,Đô thị,6014.0,1,Tăng/Giữ nguyên
Hưng Yên,Đồng bằng sông Hồng,Bắc,2023,7518.0,2.48,1350.0,1417.0,5568.888888888889,Cao,Thấp,Đô thị,7914.0,0,Giảm
Hưng Yên,Đồng bằng sông Hồng,Bắc,2024,7424.0,2.42,1350.0,1417.0,5499.259259259259,Cao,Thấp,Đô thị,7518.0,0,Giảm
Hải Dương,Đồng bằng sông Hồng,Bắc,2019,13376.0,2.48,1137.0,1185.8,11764.29199648197,Cao,Thấp,Đô thị,,0,Giảm
Hải Dương,Đồng bằng sông Hồng,Bắc,2020,10831.0,2.57,1137.0,1185.8,9525.945470536499,Cao,Thấp,Đô thị,13376.0,0,Giảm
Hải Dương,Đồng bằng sông Hồng,Bắc,2021,9829.0,2.44,1137.0,1185.8,8644.678979771328,Cao,Thấp,Đô thị,10831.0,0,Giảm
Hải Dương,Đồng bằng sông Hồng,Bắc,2022,13366.0,2.13,1137.0,1185.8,11755.496921723834,Cao,Thấp,Đô thị,9829.0,1,Tăng/Giữ nguyên
Hải Dương,Đồng bằng sông Hồng,Bắc,2023,12342.0,2.26,1137.0,1185.8,10854.881266490764,Cao,Thấp,Đô thị,13366.0,0,Giảm
Hải Dương,Đồng bằng sông Hồng,Bắc,2024,11715.0,2.11,1137.0,1185.8,10303.430079155673,Cao,Thấp,Đô thị,12342.0,0,Giảm
Hải Phòng,Đồng bằng sông Hồng,Bắc,2019,13173.0,2.2,1302.0,1391.8,10117.511520737327,Cao,Thấp,Đô thị,,0,Giảm
Hải Phòng,Đồng bằng sông Hồng,Bắc,2020,11607.0,2.05,1302.0,1391.8,8914.746543778803,Trung bình,Thấp,Đô thị,13173.0,0,Giảm
Hải Phòng,Đồng bằng sông Hồng,Bắc,2021,10531.0,2.35,1302.0,1391.8,8088.325652841781,Cao,Thấp,Đô thị,11607.0,0,Giảm
Hải Phòng,Đồng bằng sông Hồng,Bắc,2022,12011.0,2.3,1302.0,1391.8,9225.038402457758,Cao,Thấp,Đô thị,10531.0,1,Tăng/Giữ nguyên
Hải Phòng,Đồng bằng sông Hồng,Bắc,2023,12126.0,2.19,1302.0,1391.8,9313.364055299538,Cao,Thấp,Đô thị,12011.0,1,Tăng/Giữ nguyên
Hải Phòng,Đồng bằng sông Hồng,Bắc,2024,11293.0,2.2,1302.0,1391.8,8673.57910906298,Cao,Thấp,Đô thị,12126.0,0,Giảm
Hậu Giang,Đồng bằng sông Cửu Long,Nam,2019,5687.0,1.83,451.0,450.0,12609.756097560976,Trung bình,Thấp,Nông thôn,,0,Giảm
Hậu Giang,Đồng bằng sông Cửu Long,Nam,2020,5772.0,1.84,451.0,450.0,12798.226164079822,Trung bình,Thấp,Nông thôn,5687.0,1,Tăng/Giữ nguyên
Hậu Giang,Đồng bằng sông Cửu Long,Nam,2021,3313.0,1.83,451.0,450.0,7345.89800443459,Trung bình,Thấp,Nông thôn,5772.0,0,Giảm
Hậu Giang,Đồng bằng sông Cửu Long,Nam,2022,6912.0,1.51,451.0,450.0,15325.942350332594,Thấp,Thấp,Nông thôn,3313.0,1,Tăng/Giữ nguyên
Hậu Giang,Đồng bằng sông Cửu Long,Nam,2023,6600.0,1.52,451.0,450.0,14634.146341463415,Thấp,Thấp,Nông thôn,6912.0,0,Giảm
Hậu Giang,Đồng bằng sông Cửu Long,Nam,2024,5871.0,1.62,451.0,450.0,13017.738359201774,Thấp,Thấp,Nông thôn,6600.0,0,Giảm
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2019,10629.0,1.77,,,,Thấp,,Nông thôn,,0,Giảm
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2020,9168.0,1.81,,,,Trung bình,,Nông thôn,10629.0,0,Giảm
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2021,6835.0,1.82,,,,Trung bình,,Nông thôn,9168.0,0,Giảm
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2022,9943.0,1.88,,,,Trung bình,,Nông thôn,6835.0,1,Tăng/Giữ nguyên
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2023,9574.0,1.69,,,,Thấp,,Nông thôn,9943.0,0,Giảm
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Trung,2024,8403.0,1.68,,,,Thấp,,Nông thôn,9574.0,0,Giảm
Kiên Giang,Đồng bằng sông Cửu Long,Nam,2019,16764.0,1.85,272.0,278.1,61632.35294117647,Trung bình,Cao,Nông thôn,,0,Giảm
Kiên Giang,Đồng bằng sông Cửu Long,Nam,2020,15327.0,1.98,272.0,278.1,56349.26470588236,Trung bình,Cao,Nông thôn,16764.0,0,Giảm
Kiên Giang,Đồng bằng sông Cửu Long,Nam,2021,10952.0,1.91,272.0,278.1,40264.705882352944,Trung bình,Trung bình,Nông thôn,15327.0,0,Giảm
